Player,SCA,gcaPassLive,gcaTO,gcaSh,gcaFld,gcaDef
Soumaïla Coulibaly,1,1,0,0,0,0
Tanguy Coulibaly,13,8,4,0,0,0
Thibaut Courtois,5,2,0,0,0,0
Mathieu Coutadeur,26,24,1,0,0,0
Philippe Coutinho,24,19,3,1,0,0
Yan Couto,45,35,4,1,2,1
Conor Coventry,0,0,0,0,0,0
Nicolas Cozza,18,15,1,1,1,0
Nicolas Cozza,1,1,0,0,0,0
Alessio Cragno,0,0,0,0,0,0
Matthew Craig,0,0,0,0,0,0
Aaron Cresswell,73,43,0,2,1,0
Bryan Cristante,42,37,0,5,0,0
Domen Črnigoj,6,4,0,1,0,1
Juan Cruz Armada,39,31,0,1,0,1
Juan Cruz,3,3,0,0,0,0
Juan Cuadrado,78,43,5,3,7,0
Marc Cucurella,27,21,0,0,0,0
Jorge Cuenca,5,4,0,1,0,0
Braian Cufré,3,2,0,0,1,0
Mickaël Cuisance,12,8,2,0,1,0
Matheus Cunha,21,16,1,1,2,0
Matheus Cunha,10,8,0,2,0,0
Curro,2,0,0,0,0,0
Marco D'Alessandro,8,7,0,0,1,0
Danilo D'Ambrosio,17,14,1,1,1,0
Luca D'Andrea,16,12,2,1,0,0
Damien Da Silva,1,1,0,0,0,0
Moanes Dabbur,38,30,3,3,1,1
Andréa Dacourt,0,0,0,0,0,0
Colin Dagba,23,19,1,0,1,0
Finn Dahmen,3,3,0,0,0,0
Mahmoud Dahoud,6,5,0,1,0,0
Patson Daka,28,19,1,5,2,0
Thijs Dallinga,42,33,1,7,1,0
Diogo Dalot,52,48,1,2,0,1
Muhammed Damar,5,5,0,0,0,0
Mikkel Damsgaard,25,20,0,1,1,0
Flavius Daniliuc,18,15,0,2,0,0
Flavius Daniliuc,1,1,0,0,0,0
Danilo,23,17,3,1,1,0
Danilo,62,54,0,5,2,0
Arnaut Danjuma,4,4,0,0,0,0
